Timepoint,sp,weight,sym,percent_chg
1,T,10.25,CD,8.402261788
1,T,16.353,CD,4.085300108
1,T,13.541,C,4.687725371
1,T,7.904,CD,6.80721051
1,T,11.32,C,8.257463477
1,T,8.717,,8.848199112
1,T,7.409,CD,18.80655417
1,T,9.883,C,5.356967011
1,T,7.2,CD,17.01505814
1,T,9.065,CD,13.09278351
1,T,7.536,C,12.99088033
1,T,9.637,C,12.94642857
1,T,9.599,CD,5.865102639
1,T,9.366,C,10.96927191
1,T,8.701,,14.94124528
1,P,5.715,C,14.58350231
1,P,4.192,C,14.9635842
1,P,5.476,CD,11.33505599
1,P,4.31,D,11.79361179
1,P,5.255,D,9.099990918
1,P,7.222,C,8.688741722
1,P,4.187,C,20.06875806
1,P,4.06,C,19.25431274
1,P,5.089,D,15.99927687
1,P,6.133,C,8.553144998
1,P,5.782,C,14.1582965
1,P,4.465,C,15.83831718
1,P,5.931,C,14.45330831
1,P,4.137,D,15.53895887
1,P,4.413,CD,14.3653381
1,T,4.132,,19.76008724
1,T,4.834,D,20.41422866
1,T,4.973,,11.78919482
1,T,5.894,D,12.03858726
1,T,4.148,,12.47739602
1,T,5.436,C,10.01310616
1,T,6.502,C,2.954769301
1,T,5.646,D,20.77612888
1,T,4.35,D,20.21078735
1,T,5.334,D,20.05566332
1,T,5.241,,11.27115592
1,T,7.98,D,10.09043313
1,T,5.687,,15.99935291
1,T,5.209,,13.02943288
1,P,5.098,D,16.75053918
1,P,5.392,C,3.529300745
1,P,6.719,C,3.192735794
1,P,4.604,C,15.84
1,P,6.516,C,10.71895425
1,P,7.097,C,8.551389264
1,P,5.956,C,13.37928874
1,P,5.352,C,19.37225785
1,P,5.006,C,10.12706239
1,P,6.918,C,13.49329379
1,P,5.819,C,11.78943964
1,P,4.693,C,19.91557943
1,P,5.106,C,21.9665272
1,P,4.524,C,23.74598227
1,P,5.486,C,12.97195943
1,P,5.771,C,8.415636152
2,T,11.149,CD,
2,T,17.035,CD,
2,T,14.191,C,
2,T,8.461,CD,
2,T,12.295,C,
2,T,9.524,,
2,T,8.947,CD,
2,T,10.427,C,
2,T,8.539,CD,
2,T,10.335,CD,
2,T,8.583,C,
2,T,10.971,C,
2,T,10.179,CD,
2,T,10.453,C,
2,T,10.106,,
2,P,6.614,C,
2,P,4.87,C,
2,P,6.134,CD,
2,P,3.83,D,
2,P,5.756,D,
2,P,7.878,C,
2,P,5.121,C,
2,P,4.925,C,
2,P,5.974,D,
2,P,6.681,C,
2,P,6.663,C,
2,P,5.233,C,
2,P,6.855,C,
2,P,4.834,D,
2,P,5.096,CD,
2,T,5.038,,
2,T,5.933,D,
2,T,5.596,,
2,T,6.649,D,
2,T,4.7,,
2,T,6.009,C,
2,T,6.697,C,
2,T,6.955,D,
2,T,5.328,D,
2,T,6.523,D,
2,T,5.867,,
2,T,8.828,D,
2,T,6.676,,
2,T,5.935,,
2,P,6.03,D,
2,P,5.205,C,
2,P,6.937,C,
2,P,5.396,C,
2,P,7.254,C,
2,P,7.731,C,
2,P,6.81,C,
2,P,6.5,C,
2,P,5.54,C,
2,P,7.919,C,
2,P,6.548,C,
2,P,5.731,C,
2,P,6.366,C,
2,P,5.743,C,
2,P,6.247,C,
2,P,6.278,C,