FragID,temp,aoi 1,aoi 2,aoi 3 
T1-05,27,0.397,0.373,0.323
T2-03,27,0.496,0.481,0.444
T1-02,27,0.417,0.428,0.39
T2-13,27,0.45,0.493,0.473
P1-03,27,0.458,0.465,0.473
P2-10,27,0.429,0.441,0.423
P2-04,27,0.415,0.392,0.423
P1-06,27,0.442,0.455,0.444
T2-05,30,0,0,0
T2-07,30,0,0,0
T1-08,30,0,0,0
P2-14,30,0,0,0
P1-05,30,0,0,0
P2-15,30,0,0,0
T1-06,30,0,0,0
P1-01,30,0,0,0
T1-01,32,0,0,0
T2-01,32,0,0,0
T1-11,32,0,0,0
P2-01,32,0,0,0
P1-09,32,0,0,0
T2-11,32,0,0,0
P1-07,32,0,0,0
T2-06,33,0.464,0.474,0.438
T1-12,33,0.389,0.401,0.379
T1-04,33,0.428,0.445,0.428
T2-14,33,0.382,0.398,0.39
P1-14,33,0.447,0.446,0.482
P1-08,33,0.447,0.482,0.422
P2-02,33,0.356,0.382,0.381
T2-06A,34,0.429,0.358,0.405
T2-09,34,0.371,0.362,0.388
T1-15,34,0.407,0.383,0.416
T2-02,34,0.424,0.39,0.416
T1-07,34,0.38,0.365,0.374
P1-02,34,0.447,0.451,0.42
P2-03,34,0.326,0.329,0.322
P1-10,34,0.438,0.463,0.471
P2-09,34,0.371,0.372,0.351
P1-04,35,0.395,0.381,0.377
T1-09,35,0.338,0.324,0.345
T1-03,35,0.322,0.32,0.323
T2-04,35,0.245,0.264,0.244
T2-07A,35,0.339,0.319,0.388
P2-11,35,0.197,0.125,0.142
P1-11,35,0.331,0.361,0.341
P2-05,35,0.192,0.189,0.157
P2-13,36,0.091,0.053,0.073
P1-12,36,0.043,0.047,0
P2-06,36,0.069,0,0
T2-08,36,0.085,0.087,0.086
T2-15,36,0.137,0.12,0.112
T1-14,36,0.174,0.215,0.152
T2-13A,36,0.224,0.253,0.219
T1-10,36,0.176,0.155,0.128
T1-13,37,0,0.013,0
T2-10,37,0.029,0,0.034
T2-12,37,0.071,0.09,0.092
P2-12,37,0,0,0
P2-07,37,0,0,0
P1-13,37,0,0,0